duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_count
306826,0,0.835,0.848,8,-8.282,1,0.0594,0.109,0.87,0.128,0.253,122.906,4,2
87771,0,0.908,0.253,10,-10.474,1,0.0587,0.441,0.0,0.115,0.962,131.799,4,1
179705,0,0.758,0.817,2,-4.679,0,0.056,0.675,0.0,0.0544,0.965,106.178,4,1
149640,0,0.509,0.93,0,-2.689,0,0.0474,0.00137,0.0,0.152,0.783,154.946,4,1
221913,0,0.798,0.562,11,-12.748,0,0.265,0.152,0.0,0.347,0.431,99.98,4,2
117946,0,0.189,0.993,4,-21.551,1,0.0522,0.119,0.948,0.802,0.00361,59.47,4,1
128399,0,0.515,0.721,0,-7.889,1,0.0297,0.583,0.881,0.0569,0.851,113.176,4,1
297449,0,0.666,0.247,7,-11.586,1,0.634,0.798,0.0,0.601,0.406,94.808,4,1
131733,0,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,1
418240,0,0.463,0.308,3,-9.09,1,0.0328,0.481,9.78e-06,0.112,0.118,116.068,3,2
266013,0,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,4,1
229013,0,0.767,0.672,2,-4.455,0,0.182,0.12,6.18e-05,0.695,0.585,171.996,4,2
223226,0,0.277,0.99,11,-4.318,1,0.405,0.000795,0.485,0.282,0.332,172.366,4,1
384387,0,0.765,0.94,6,-9.784,0,0.0605,0.0597,0.932,0.106,0.0528,135.009,4,1
313653,0,0.543,0.927,4,-4.374,0,0.0361,0.00741,0.0,0.167,0.517,130.955,4,1
241986,0,0.331,0.00735,4,-30.904,0,0.0362,0.991,0.952,0.0968,0.0944,66.628,4,2
237720,0,0.671,0.673,11,-6.941,0,0.0444,0.15,5.16e-05,0.304,0.493,121.96,4,1
348400,0,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4,1
230400,0,0.672,0.91,11,-3.427,1,0.208,0.0294,0.00979,0.448,0.582,174.883,4,1
211920,0,0.787,0.858,10,-4.152,0,0.0373,0.405,2.95e-06,0.133,0.814,105.0,4,1
155880,0,0.175,0.196,5,-18.02,0,0.0326,0.959,0.823,0.209,0.151,49.891,4,2
229160,0,0.813,0.582,7,-8.529,1,0.156,0.086,0.000154,0.0451,0.685,100.968,4,2
341986,0,0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,4,1
246933,0,0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,4,1
231000,0,0.719,0.444,9,-10.358,1,0.0608,0.856,0.0,0.105,0.94,156.018,4,1
189996,0,0.646,0.889,7,-3.307,0,0.0336,0.371,0.0225,0.167,0.641,123.006,4,1
153058,0,0.647,0.319,9,-9.987,1,0.0367,0.827,0.0,0.133,0.267,126.243,4,1
241760,0,0.528,0.571,10,-12.537,0,0.0336,0.385,0.000266,0.0575,0.672,79.985,4,1
235150,0,0.594,0.53,0,-7.192,1,0.0262,0.506,0.0,0.0973,0.419,81.979,4,1
227333,0,0.516,0.85,0,-5.099,1,0.0301,0.00353,0.00365,0.201,0.484,125.058,4,1
145373,0,0.459,0.717,11,-8.16,0,0.0487,0.00159,0.793,0.213,0.673,157.436,3,1
261413,0,0.721,0.521,2,-8.123,1,0.0612,0.0707,0.00552,0.127,0.942,123.118,4,1
270400,0,0.331,0.937,7,-5.829,1,0.0723,0.00567,0.0271,0.107,0.657,163.978,4,1
246773,0,0.675,0.366,2,-13.493,1,0.0759,0.719,0.00105,0.191,0.411,72.662,4,1
288006,0,0.527,0.664,7,-4.254,1,0.0295,0.226,0.0,0.121,0.228,83.934,4,1
276146,0,0.61,0.595,7,-8.009,1,0.0406,0.397,0.0,0.568,0.84,134.789,3,1
68205,0,0.803,0.572,0,-9.308,1,0.205,0.811,0.00338,0.0962,0.79,112.478,3,1
134845,1,0.654,0.766,2,-5.48,1,0.127,0.0178,2.37e-05,0.28,0.521,187.901,4,2
197146,1,0.165,0.773,5,-1.756,0,0.109,2.36e-06,0.707,0.324,0.0426,123.623,3,1
361066,0,0.48,0.681,5,-8.002,1,0.163,0.284,0.0,0.125,0.74,88.003,4,2
166028,0,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,2
176026,0,0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21,4,1
207151,1,0.316,0.879,7,-9.414,0,0.113,0.827,0.00239,0.278,0.647,88.614,4,1
188240,0,0.32,0.242,9,-19.773,1,0.0498,0.987,0.949,0.0924,0.115,145.722,4,1
223960,0,0.574,0.885,5,-4.789,1,0.0567,0.0796,0.0,0.381,0.966,80.492,4,1
200666,0,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4,1
204500,1,0.891,0.62,7,-7.463,1,0.244,0.139,1.61e-05,0.0805,0.404,98.093,4,1
151835,0,0.594,0.548,9,-9.738,1,0.263,0.379,2.95e-05,0.135,0.278,95.932,4,1
34460,0,0.689,0.756,9,-7.992,1,0.352,0.205,0.0,0.281,0.754,75.819,4,1
66640,0,0.791,0.727,1,-14.513,1,0.0521,0.0957,0.354,0.057,0.641,128.212,4,1
181354,0,0.747,0.79,0,-2.233,1,0.0474,0.172,0.0,0.357,0.615,117.97,4,1
197106,0,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,1
217189,0,0.604,0.833,7,-3.022,1,0.0851,0.00576,0.0471,0.0749,0.0981,72.54,4,1
198965,0,0.3,0.579,0,-9.583,0,0.0391,0.54,7.25e-05,0.981,0.707,77.15,4,1
200106,0,0.482,0.89,2,-5.076,1,0.0304,0.00323,0.0,0.0904,0.699,99.808,4,1
162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,1
195933,0,0.447,0.865,9,-6.056,1,0.039,4.07e-05,0.1,0.321,0.597,118.382,4,1
214634,0,0.557,0.723,9,-5.638,0,0.0501,0.00557,0.00133,0.151,0.158,122.998,4,2
189000,0,0.572,0.854,7,-3.525,1,0.0832,0.000148,0.934,0.0984,0.152,95.94,4,1
151387,0,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,1
195520,1,0.818,0.755,7,-5.326,1,0.309,0.53,0.0,0.276,0.702,96.871,4,1
212800,0,0.73,0.655,2,-2.737,1,0.0816,0.165,0.00179,0.115,0.316,149.999,4,2
336960,0,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376,4,1
173161,0,0.482,0.234,7,-22.993,1,0.0379,0.995,0.943,0.101,0.593,95.657,4,1
172466,1,0.766,0.882,5,-4.477,1,0.0713,0.0675,2.59e-06,0.281,0.547,107.933,4,1
227207,0,0.329,0.309,0,-10.255,1,0.0355,0.816,0.0,0.141,0.496,172.599,4,1
223840,0,0.603,0.817,7,-7.059,1,0.0299,1.52e-05,0.0115,0.107,0.795,125.033,4,1
255893,0,0.448,0.885,9,-3.755,1,0.0562,0.111,3.65e-06,0.0476,0.134,178.151,4,1
145081,0,0.663,0.583,7,-9.235,1,0.0346,0.411,0.138,0.169,0.58,81.507,4,1
337880,0,0.334,0.695,6,-7.813,0,0.0439,0.575,0.000362,0.846,0.153,133.95,4,1
