artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_count
Derrick Carter;Chris Nazuka,A Red Nail Relic,Life Beats,306826,False,0.835,0.848,8,-8.282,1,0.0594,0.109,0.87,0.128,0.253,122.906,4,chicago-house,2
The Little Sunshine Kids,100 Fun Songs for Kids Vol. 1,5 Little Monkeys,87771,False,0.908,0.253,10,-10.474,1,0.0587,0.441,0.0,0.115,0.962,131.799,4,children,1
Banda Cuisillos,"Las Románticas de Cuisillos, Vol. 2",Siempre Contigo,179705,False,0.758,0.817,2,-4.679,0,0.056,0.675,0.0,0.0544,0.965,106.178,4,r-n-b,1
The Red Jumpsuit Apparatus,Don't You Fake It,False Pretense,149640,False,0.509,0.93,0,-2.689,0,0.0474,0.00137,0.0,0.152,0.783,154.946,4,punk,1
Vikadakavi;Switch Lock Up,Dare to Ride - Blenzzers,Dare to Ride - Blenzzers,221913,False,0.798,0.562,11,-12.748,0,0.265,0.152,0.0,0.347,0.431,99.98,4,malay,2
Natural White Noise Relaxation,Baby Sleep White Noise: Ultimate Album to Help Babies Sleep Through the Night,"Nature Sounds: Constant Sound Masking Radio Ambience Waves, Gurgles (Quartz Creek)",117946,False,0.189,0.993,4,-21.551,1,0.0522,0.119,0.948,0.802,0.00361,59.47,4,sleep,1
Gaze,Shake the Pounce,Detail Queen,128399,False,0.515,0.721,0,-7.889,1,0.0297,0.583,0.881,0.0569,0.851,113.176,4,club,1
Peppa Pig Stories,Nursery Rhymes,Nursery Rhymes,297449,False,0.666,0.247,7,-11.586,1,0.634,0.798,0.0,0.601,0.406,94.808,4,children,1
Ella Fitzgerald,Beste Weihnachtslieder,Frosty The Snowman,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,1
Samuel Mizrahy;Nívea Soares,Novamente,Jesus Te Amamos (feat. Nívea Soares),418240,False,0.463,0.308,3,-9.09,1,0.0328,0.481,9.78e-06,0.112,0.118,116.068,3,groove,2
Jethro Tull,Aqualung (Special Edition),Locomotive Breath,266013,False,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,4,psych-rock,1
Brytiago;Darell,Perreo Tenebroso Vol. 1,Olvidando,229013,False,0.767,0.672,2,-4.455,0,0.182,0.12,6.18e-05,0.695,0.585,171.996,4,reggae,2
Murderdolls,Beyond The Valley Of The Murderdolls,Dawn of the Dead,223226,False,0.277,0.99,11,-4.318,1,0.405,0.000795,0.485,0.282,0.332,172.366,4,industrial,1
Charlotte de Witte,Return To Nowhere EP,Sgadi Li Mi,384387,False,0.765,0.94,6,-9.784,0,0.0605,0.0597,0.932,0.106,0.0528,135.009,4,techno,1
Hermetica,Homenaje,Tu Eres Su Seguridad,313653,False,0.543,0.927,4,-4.374,0,0.0361,0.00741,0.0,0.167,0.517,130.955,4,heavy-metal,1
Frédéric Chopin;Benjamin Grosvenor,Relajación y siestas,"Nocturne No. 19 in E Minor, Op. 72, No. 1",241986,False,0.331,0.00735,4,-30.904,0,0.0362,0.991,0.952,0.0968,0.0944,66.628,4,classical,2
Jaymes Young,I'm Blue - Hits of 2022,Infinity,237720,False,0.671,0.673,11,-6.941,0,0.0444,0.15,5.16e-05,0.304,0.493,121.96,4,rock,1
Dire Straits,Dire Straits,Sultans Of Swing,348400,False,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4,rock,1
Deekline,"Welcome To The Jungle: Drum & Bass X Jungle: Mixed By Deekline, Ed Solo & Serial Killaz",Brick City,230400,False,0.672,0.91,11,-3.427,1,0.208,0.0294,0.00979,0.448,0.582,174.883,4,breakbeat,1
Wisin & Yandel,Halloween con perreito,Sexy Movimiento,211920,False,0.787,0.858,10,-4.152,0,0.0373,0.405,2.95e-06,0.133,0.814,105.0,4,hip-hop,1
Frédéric Chopin;Seong-Jin Cho,Classical Running,"Études, Op. 10: No. 12 in C Minor ""Revolutionary""",155880,False,0.175,0.196,5,-18.02,0,0.0326,0.959,0.823,0.209,0.151,49.891,4,classical,2
Soul II Soul;Caron Wheeler,Fascinating Rhythms (Sound Systems & Dancefloor),Back To Life (However Do You Want Me) - Remastered,229160,False,0.813,0.582,7,-8.529,1,0.156,0.086,0.000154,0.0451,0.685,100.968,4,british,2
Red Hot Chili Peppers,Eddie,Eddie,341986,False,0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,4,metal,1
R.E.M.,80s Bangers Vol. 2,It's The End Of The World As We Know It (And I Feel Fine),246933,False,0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,4,rock,1
Sem Reznha,"Sem Reznha Acústico, Vol. 13",Meu Pedaço de Pecado / Aquelas Coisas (Pagode) - Acústico,231000,False,0.719,0.444,9,-10.358,1,0.0608,0.856,0.0,0.105,0.94,156.018,4,pagode,1
Vicetone,Tonight We Dance,Tonight We Dance,189996,False,0.646,0.889,7,-3.307,0,0.0336,0.371,0.0225,0.167,0.641,123.006,4,progressive-house,1
shy martin,can I call you back?,can I call you back?,153058,False,0.647,0.319,9,-9.987,1,0.0367,0.827,0.0,0.133,0.267,126.243,4,swedish,1
Teoman,Teoman,Ne Ekmek Ne De Su,241760,False,0.528,0.571,10,-12.537,0,0.0336,0.385,0.000266,0.0575,0.672,79.985,4,turkish,1
Seafret,Anywhere from Here,Hollow,235150,False,0.594,0.53,0,-7.192,1,0.0262,0.506,0.0,0.0973,0.419,81.979,4,folk,1
Indochine,Dancetaria,Stef II,227333,False,0.516,0.85,0,-5.099,1,0.0301,0.00353,0.00365,0.201,0.484,125.058,4,synth-pop,1
Pescado Rabioso,Lo Mejor de Pescado Rabioso,Me Gusta Ese Tajo,145373,False,0.459,0.717,11,-8.16,0,0.0487,0.00159,0.793,0.213,0.673,157.436,3,alt-rock,1
Talking Heads,Psycho Killer: 1977 Rock,Psycho Killer,261413,False,0.721,0.521,2,-8.123,1,0.0612,0.0707,0.00552,0.127,0.942,123.118,4,punk,1
Apollo 440,Electro Glide In Blue,Ain't Talkin' 'Bout Dub,270400,False,0.331,0.937,7,-5.829,1,0.0723,0.00567,0.0271,0.107,0.657,163.978,4,breakbeat,1
Rory Block,I've Got A Rock In My Sock,Lovin' Whiskey,246773,False,0.675,0.366,2,-13.493,1,0.0759,0.719,0.00105,0.191,0.411,72.662,4,acoustic,1
Canção & Louvor,Eu Escolho Deus,Eu Escolho Deus,288006,False,0.527,0.664,7,-4.254,1,0.0295,0.226,0.0,0.121,0.228,83.934,4,gospel,1
Marc Anthony,Amar Sin Mentiras,Tu Amor Me Hace Bien,276146,False,0.61,0.595,7,-8.009,1,0.0406,0.397,0.0,0.568,0.84,134.789,3,salsa,1
Ilaiyaraaja,Muthal Mariyathai (Original Motion Picture Soundtrack),Hey Kiliyirukku,68205,False,0.803,0.572,0,-9.308,1,0.205,0.811,0.00338,0.0962,0.79,112.478,3,k-pop,1
Tove Lo;Doja Cat,Sunshine Kitty,Equally Lost (feat. Doja Cat),134845,True,0.654,0.766,2,-5.48,1,0.127,0.0178,2.37e-05,0.28,0.521,187.901,4,synth-pop,2
Anaal Nathrakh,In The Constellation Of The Black Widow,Blood Eagles Carved On The Backs Of Innocents,197146,True,0.165,0.773,5,-1.756,0,0.109,2.36e-06,0.707,0.324,0.0426,123.623,3,grindcore,1
Sonu Nigam;Shreya Ghoshal,Main Hoon Na,Main Hoon Na,361066,False,0.48,0.681,5,-8.002,1,0.163,0.284,0.0,0.125,0.74,88.003,4,pop-film,2
Joel Corry;MNEK,La Fine dell'Estate,Head & Heart,166028,False,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,dance,2
Dan Auerbach,Waiting on a Song,Never in My Wildest Dreams,176026,False,0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21,4,blues,1
Days N Daze,Rogue Taxidermy,Perfectly Dysfunctional,207151,True,0.316,0.879,7,-9.414,0,0.113,0.827,0.00239,0.278,0.647,88.614,4,acoustic,1
Yiruma,Piano In You,River Flows In You,188240,False,0.32,0.242,9,-19.773,1,0.0498,0.987,0.949,0.0924,0.115,145.722,4,new-age,1
Buddy,"Saufen morgens, mittags, abends - Die Party",Ab in den Süden,223960,False,0.574,0.885,5,-4.789,1,0.0567,0.0796,0.0,0.381,0.966,80.492,4,party,1
J Balvin,Perreo Tenebroso Vol. 5,Morado,200666,False,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4,reggae,1
Vybz Kartel,King Of The Dancehall,Fever,204500,True,0.891,0.62,7,-7.463,1,0.244,0.139,1.61e-05,0.0805,0.404,98.093,4,dancehall,1
Pietro Lombardi,Arbeitsmusik Herbst/Winter 2022/2023,Niemand wie du,151835,False,0.594,0.548,9,-9.738,1,0.263,0.379,2.95e-05,0.135,0.278,95.932,4,german,1
Armin van Buuren,ASOT 1090 - A State Of Trance Episode 1090,A State Of Trance (ASOT 1090) - ASOT ADE 2022,34460,False,0.689,0.756,9,-7.992,1,0.352,0.205,0.0,0.281,0.754,75.819,4,trance,1
Dopplereffekt,Gesamtkunstwerk,Plastiphilia,66640,False,0.791,0.727,1,-14.513,1,0.0521,0.0957,0.354,0.057,0.641,128.212,4,detroit-techno,1
Zara Larsson,Look What You've Done,Look What You've Done,181354,False,0.747,0.79,0,-2.233,1,0.0474,0.172,0.0,0.357,0.615,117.97,4,swedish,1
Lynyrd Skynyrd,Country Car Hits,Simple Life,197106,False,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,hard-rock,1
Midnight Tyrannosaurus,Tales From The Man Cave,Body Count,217189,False,0.604,0.833,7,-3.022,1,0.0851,0.00576,0.0471,0.0749,0.0981,72.54,4,dubstep,1
The Supremes,Best R&B Tunes,"If My Friends Could See Me Now/Nothing Can Stop Us Now/Once In A Lifetime - Medley/Live On The Ed Sullivan Show, February 15, 1970",198965,False,0.3,0.579,0,-9.583,0,0.0391,0.54,7.25e-05,0.981,0.707,77.15,4,soul,1
Last Child,Our Biggest Thing Ever,Cinta Semestinya,200106,False,0.482,0.89,2,-5.076,1,0.0304,0.00323,0.0,0.0904,0.699,99.808,4,punk,1
Chuck Berry,Christmas Eve At Home,Run Rudolph Run,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,rock-n-roll,1
CKY,An Ånswer Can Be Found,Dressed In Decay,195933,False,0.447,0.865,9,-6.056,1,0.039,4.07e-05,0.1,0.321,0.597,118.382,4,industrial,1
Cosmic Gate;Diana Miro,Nothing to Hide,Nothing to Hide,214634,False,0.557,0.723,9,-5.638,0,0.0501,0.00557,0.00133,0.151,0.158,122.998,4,trance,2
Ixuol,Abstraction In High Fidelity,Discurs,189000,False,0.572,0.854,7,-3.525,1,0.0832,0.000148,0.934,0.0984,0.152,95.94,4,iranian,1
Bryan Adams,Christmas Dinner 2022,Merry Christmas,151387,False,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,songwriter,1
Mr. Vegas,Reggae Mix USA [Mixed By Jabba],Heads High,195520,True,0.818,0.755,7,-5.326,1,0.309,0.53,0.0,0.276,0.702,96.871,4,dancehall,1
Eliminate;Leah Culver,Crystallize,Crystallize,212800,False,0.73,0.655,2,-2.737,1,0.0816,0.165,0.00179,0.115,0.316,149.999,4,dubstep,2
Taeko Onuki,MIGNONNE (Mastered by Bernie Grundman),4:00A.M.,336960,False,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376,4,j-pop,1
Ever So Blue,Symbios,Symbios,173161,False,0.482,0.234,7,-22.993,1,0.0379,0.995,0.943,0.101,0.593,95.657,4,piano,1
The Offspring,90's Music Grandi Successi,Why Don't You Get A Job,172466,True,0.766,0.882,5,-4.477,1,0.0713,0.0675,2.59e-06,0.281,0.547,107.933,4,punk-rock,1
Eason Chan,Shall We Dance? Shall We Talk!,Shall We Talk,227207,False,0.329,0.309,0,-10.255,1,0.0355,0.816,0.0,0.141,0.496,172.599,4,mandopop,1
Tequila Baby,"Sangue, Ouro e Pólvora",Velhas Fotos,223840,False,0.603,0.817,7,-7.059,1,0.0299,1.52e-05,0.0115,0.107,0.795,125.033,4,punk-rock,1
Mat Kearney,Young Love,Ships In The Night,255893,False,0.448,0.885,9,-3.755,1,0.0562,0.111,3.65e-06,0.0476,0.134,178.151,4,acoustic,1
Bennett Coast,Sunsick,Sunsick,145081,False,0.663,0.583,7,-9.235,1,0.0346,0.411,0.138,0.169,0.58,81.507,4,chill,1
Babasónicos,Desde Adentro - Impuesto de Fe (En Vivo),Camarín - En Vivo,337880,False,0.334,0.695,6,-7.813,0,0.0439,0.575,0.000362,0.846,0.153,133.95,4,electronic,1
Collie Buddz,Collie Buddz,Tomorrow's Another Day,195800,False,0.706,0.6,4,-5.648,0,0.0736,0.116,0.0,0.305,0.345,81.028,4,dancehall,1
Cephalic Carnage,Anomalies,Kill for Weed,137706,False,0.313,0.768,1,-7.539,1,0.0772,0.00457,0.0687,0.175,0.0389,115.987,3,grindcore,1
Divya Kumar;Anurag Saikia,Panchayat Season 2 (Music from the Series),Pyar Badhta Hai,133760,False,0.82,0.816,2,-5.738,1,0.0584,0.355,2.79e-05,0.0695,0.965,122.966,4,folk,2
Andi Latte,Das Bier gewinnt (Kreisligafussball),Das Bier gewinnt (Kreisligafussball),212529,False,0.62,0.992,6,-3.111,1,0.0973,0.153,0.0,0.368,0.786,141.998,4,party,1
Xamã;Bagua Records,Pecado Capital,44 Problems,250453,False,0.527,0.833,5,-5.11,0,0.212,0.0337,0.0,0.0586,0.832,84.041,4,brazil,2
Zaeden,socha na tha,socha na tha,144250,False,0.489,0.752,2,-5.422,1,0.0372,0.665,0.000669,0.55,0.179,192.133,4,indie-pop,1
Dan Gibson's Solitudes,Island Spa,Balancing,384010,False,0.278,0.0787,9,-29.135,0,0.0582,0.76,0.568,0.944,0.0962,120.441,4,new-age,1
Mulatu Astatke;The Heliocentrics,Inspiration Information 3,Chinese New Year,226400,False,0.57,0.698,1,-10.008,1,0.0348,0.224,0.857,0.153,0.715,116.416,5,afrobeat,2
Olive;Black Olive,Pure... 90s Dance Party,You're Not Alone - Radio Edit,224293,False,0.547,0.714,10,-8.839,1,0.0573,0.0516,0.0371,0.227,0.62,135.283,4,trip-hop,2
Megadeth,Youthanasia (Expanded Edition),A Tout Le Monde - Remastered 2004,262133,False,0.272,0.747,5,-4.86,0,0.0401,0.000393,4.03e-05,0.16,0.255,202.777,4,hard-rock,1
Xam651;DenniJasmin,Striche,Striche,156577,True,0.785,0.596,0,-8.7,1,0.0526,0.439,0.0,0.12,0.71,93.45,4,german,2
Kacey Musgraves;Camila Cabello,Weihnachtspop 2022,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,124240,False,0.745,0.598,10,-6.053,1,0.0975,0.129,0.0,0.678,0.789,148.906,4,country,2
Bad Bunny,Un Verano Sin Ti,Dos Mil 16,208615,False,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058,3,reggaeton,1
Tinariwen;Kurt Vile;Mark Lanegan,Elwan,Nànnuflày,303106,False,0.602,0.476,8,-7.278,1,0.028,0.854,0.372,0.103,0.301,118.417,4,guitar,3
Armin van Buuren,"Feel Again, Pt. 1",Let You Down,210476,False,0.572,0.956,10,-3.605,0,0.0418,0.0104,0.000188,0.205,0.0375,125.998,4,trance,1
BTS,2 Cool 4 Skool,We Are Bulletproof Pt.2,223933,False,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32e-06,0.134,0.868,144.02,4,k-pop,1
Kyson,Lucky Notes,Not a Word at Breakfast,178065,False,0.554,0.253,10,-14.187,1,0.0353,0.895,0.00908,0.0777,0.23,136.02,4,idm,1
Lucia Guiada,Meditación Guiada Corta - Mantra Meditación Profunda con Voz Femenina y Frases de Tranquilidad para Sanación Diaria,Jardín Japonés (Remedio Zen contra el Estrés),380999,False,0.117,0.224,5,-22.045,1,0.0381,0.944,0.963,0.0992,0.0335,87.464,4,world-music,1
Andrea Bocelli,Believe (Deluxe Extended),Pianissimo - Acoustic,167509,False,0.372,0.0651,7,-24.487,1,0.0511,0.984,0.858,0.132,0.219,64.066,4,opera,1
Kina,Nobody Cares,Nobody Cares,175253,True,0.653,0.166,4,-16.146,0,0.0384,0.681,0.484,0.277,0.0718,100.018,4,sad,1
Connate Exasperation,Delusional Primacy,Labyrinth Of Darkness (instrumental),68423,False,0.535,0.455,0,-14.741,0,0.0643,0.557,0.228,0.169,0.775,73.372,3,iranian,1
